Alias,Target Artist,Target Exists in Plex,Usage Count,Run Count,First Used UTC,Last Used UTC,Last Source,Last Playlist,Status
Alan Parsons Project,The Alan Parsons Project,Yes,0,0,,,,,UNUSED
Beatles,The Beatles,Yes,0,0,,,,,UNUSED
Bob Marley and the Wailers,Bob Marley & The Wailers,Yes,0,0,,,,,UNUSED
BTO,Bachman-Turner Overdrive,No,0,0,,,,,BROKEN
CSNY,"Crosby, Stills, Nash & Young",Yes,0,0,,,,,UNUSED
Doobie Brothers,The Doobie Brothers,Yes,0,0,,,,,UNUSED
ELO,Electric Light Orchestra,Yes,0,0,,,,,UNUSED
Hall & Oates,Daryl Hall & John Oates,Yes,0,0,,,,,UNUSED
Hollies,The Hollies,Yes,0,0,,,,,UNUSED
Jose Feliciano,José Feliciano,Yes,0,0,,,,,UNUSED
Michael Murphey,Michael Martin Murphey,Yes,0,0,,,,,UNUSED
Paul McCartney,Wings,Yes,0,0,,,,,UNUSED
Rascals,The Rascals,Yes,0,0,,,,,UNUSED
Rolling Stones,The Rolling Stones,Yes,0,0,,,,,UNUSED
Seals,Seals & Crofts,Yes,0,0,,,,,UNUSED
Stills,The Stills-Young Band,No,0,0,,,,,BROKEN
Temptations,The Temptations,Yes,0,0,,,,,UNUSED
The Tierney Sutton Band,Tierney Sutton Band,No,0,0,,,,,BROKEN
