run_timestamp_utc,source,playlist,requested_tracks,normal_matches,fallback_matches,alias_matches,unmatched_tracks,metadata_warnings,match_percent,lidarr_searches_queued,lidarr_searches_suppressed,lidarr_retries_queued,lidarr_tracks_available,run_duration_seconds,cache_refresh_performed,stale_plex_matches,playlist_skip_reason,plex_cache_age_hours,plex_cache_track_count,plex_state,xmplaylist_state,lidarr_state,tidal_state,playlist_state,run_result
2026-07-16T21:29:51.593557+00:00,XMPlaylist Ch 14,Ch 14 - The Bridge,101,88,2,0,11,12,89.11,0,0,0,0,,,,,3.3919649919444446,53166,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,DRY RUN,SUCCESS
2026-07-16T21:32:03.391322+00:00,XMPlaylist Ch 14,Ch 14 - The Bridge,101,88,2,0,11,12,89.11,0,0,0,0,,,,,3.428611290277778,53166,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,DRY RUN,SUCCESS
2026-07-16T21:36:25.409307+00:00,XMPlaylist Ch 14,Ch 14 - The Bridge,102,89,2,0,11,12,89.22,0,0,0,0,,,,,3.4750048863888887,53166,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T08:39:18.417429+00:00,XMPlaylist Ch 14,Ch 14 - The Bridge,47,40,1,0,6,6,87.23,0,0,0,0,208.88,True,,,0.0,53175,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T09:02:18.354629+00:00,XMPlaylist Ch 14,Ch 14 - The Bridge,53,44,1,0,8,6,84.91,0,0,0,0,33.721,False,,,0.3826390866666667,53175,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T09:03:12.074576+00:00,XMPlaylist Ch 15,Ch 15 - Yacht Rock Radio,47,35,2,0,10,5,78.72,0,0,0,0,25.792,False,,,0.39975553305555556,53175,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T09:06:23.029627+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,47,29,1,0,17,2,63.83,0,0,0,0,36.022,False,,,0.44995312388888886,53175,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T09:10:03.856788+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,92,55,1,0,36,4,60.87,0,0,0,0,53.197,False,,,0.5065343527777778,53175,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T09:18:28.782853+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,119,74,2,0,43,8,63.87,0,0,0,0,76.333,False,,,0.6403647716666666,53175,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T09:45:54.024283+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,120,75,1,0,44,7,63.33,0,0,0,0,175.929,True,,,0.0,53180,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T11:35:24.181109+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,121,78,1,0,42,7,65.29,0,0,0,0,207.311,True,,,0.0,53615,AVAILABLE,AVAILABLE,UNAVAILABLE,NOT_CONFIGURED,UPDATED,COMPLETED WITH WARNINGS
2026-07-17T11:46:30.390158+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,48,28,0,0,20,1,58.33,0,0,0,0,203.359,True,,,0.0,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T12:10:13.725929+00:00,XMPlaylist Ch 24,Ch 24 - Radio Margaritaville,94,62,1,0,31,6,67.02,0,0,0,0,199.284,False,,,0.3514520538888889,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T12:10:56.240291+00:00,XMPlaylist Ch 14,Ch 14 - The Bridge,48,40,3,0,5,8,89.58,0,0,0,0,14.272,False,,,0.4146616258333333,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T12:11:36.151347+00:00,XMPlaylist Ch 15,Ch 15 - Yacht Rock Radio,48,36,4,0,8,6,83.33,0,0,0,0,22.196,False,,,0.4235373327777778,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T12:13:04.428008+00:00,XMPlaylist Ch 7,Ch 7 - 70s on 7,48,30,3,0,15,5,68.75,0,0,0,0,40.882,False,,,0.44288177055555555,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T13:20:24.859954+00:00,XMPlaylist Ch 7,Ch 7 - 70s on 7,95,63,6,0,26,13,72.63,0,0,0,0,55.741,False,0,,1.5611098594444444,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
2026-07-17T13:24:57.584721+00:00,XMPlaylist Ch 7,Ch 7 - 70s on 7,143,97,8,0,38,18,73.43,0,0,0,0,255.107,True,0,,0.0,53615,AVAILABLE,AVAILABLE,AVAILABLE,NOT_CONFIGURED,UPDATED,SUCCESS
