Artist,Normalized Artist,Album Count,Track Count,First Letter
"""The Rocky Horror Show"" Original Roxy Cast",the rocky horror show original roxy cast,1,2,""""
*NSYNC,nsync,2,2,*
10cc,10cc,8,97,1
2002,2002,15,145,2
2CELLOS,2cellos,1,1,2
"2CΞLLOS, London Symphony Orchestra",2cξllos london symphony orchestra,1,3,2
3 Doors Down,3 doors down,21,219,3
38 Special,38 special,21,235,3
3rd Force,3rd force,1,11,3
[theatre],theatre,1,1,[
A Flock of Seagulls,a flock of seagulls,1,1,A
A Taste of Honey,a taste of honey,1,1,A
"Aaron Copland, Leonard Bernstein, Henry Fonda",aaron copland leonard bernstein henry fonda,1,2,A
Aaron Neville,aaron neville,1,1,A
ABBA,abba,27,996,A
Abbey Lincoln,abbey lincoln,4,30,A
ABC,abc,1,1,A
AC/DC,ac dc,28,365,A
Accept,accept,1,1,A
Ace,ace,1,10,A
Ace of Base,ace of base,2,26,A
Acker Bilk,acker bilk,1,1,A
Acoustic Alchemy,acoustic alchemy,1,1,A
Acoustic Eidolon,acoustic eidolon,1,1,A
Adam Ant,adam ant,1,13,A
Adam Hawley,adam hawley,1,1,A
"Adam Saunders, Mark Cousins, Royal Philharmonic Orchestra, The City Of Prague Philharmonic Orchestra, Pete Harrison",adam saunders mark cousins royal philharmonic orchestra the city of prague philharmonic orchestra pete harrison,1,18,A
Adele,adele,5,67,A
Adiemus,adiemus,3,27,A
Adolph Hofner,adolph hofner,1,1,A
Adonis Rose Trio,adonis rose trio,1,1,A
Aerosmith,aerosmith,12,46,A
Agnetha Fältskog,agnetha faltskog,1,10,A
AI AL,ai al,1,7,A
Air Supply,air supply,2,40,A
Airmen of Note,airmen of note,2,22,A
Airplay,airplay,1,1,A
Al B. Sure!,al b sure,1,10,A
Al Green,al green,4,32,A
Al Jarreau,al jarreau,1,10,A
Al Jolson,al jolson,2,2,A
Al Martino,al martino,1,1,A
Al Stewart,al stewart,6,33,A
Al Trace and His Musicians,al trace and his musicians,1,1,A
Al Wilson,al wilson,1,1,A
Alabama,alabama,1,11,A
Alan Jackson,alan jackson,6,36,A
"Alan Jackson, George Strait & Jimmy Buffett",alan jackson george strait jimmy buffett,1,15,A
Alan Parsons,alan parsons,5,69,A
Alan Silvestri,alan silvestri,2,23,A
Alanis Morissette,alanis morissette,1,13,A
Alasdair Fraser,alasdair fraser,5,59,A
Alborosie,alborosie,1,17,A
Alexandre Desplat,alexandre desplat,1,1,A
Alexis Cole,alexis cole,3,40,A
Algorhythm,algorhythm,1,1,A
Alice Coltrane,alice coltrane,1,1,A
Alice Cooper,alice cooper,6,17,A
Alicia Bridges,alicia bridges,1,1,A
Aliotta Haynes Jeremiah,aliotta haynes jeremiah,1,1,A
Alison Krauss,alison krauss,1,16,A
Alison Krauss & Union Station,alison krauss union station,1,1,A
Alison Moyet,alison moyet,2,22,A
All 4 1,all 4 1,1,3,A
Allan Sherman,allan sherman,1,1,A
Allan Taylor,allan taylor,1,3,A
Ally the Piper,ally the piper,8,18,A
Alphaville,alphaville,1,1,A
Altan,altan,3,26,A
Alter Bridge,alter bridge,1,1,A
Althea & Donna,althea donna,1,10,A
Ambrose,ambrose,1,1,A
Ambrosia,ambrosia,3,20,A
America,america,7,41,A
American Authors,american authors,1,1,A
Amii Stewart,amii stewart,1,1,A
Amina Claudine Myers,amina claudine myers,1,1,A
Amos Milburn,amos milburn,1,1,A
Amy Belle,amy belle,3,20,A
Amy Winehouse,amy winehouse,20,224,A
An Dóchas,an dochas,1,13,A
Anat Cohen,anat cohen,1,1,A
Andra Day,andra day,1,1,A
Andrew Gold,andrew gold,1,1,A
Andrews Brothers Original Cast,andrews brothers original cast,1,1,A
Andy Gibb,andy gibb,3,14,A
Andy Kim,andy kim,1,1,A
"Andy Russell, The Pied Pipers",andy russell the pied pipers,1,1,A
Andy Snitzer,andy snitzer,1,1,A
Andy Williams,andy williams,4,6,A
Andy-Gpoint,andy gpoint,1,1,A
Angel Bat Dawid,angel bat dawid,1,1,A
Animotion,animotion,1,13,A
"Anita Ellis, Eugenie Baird",anita ellis eugenie baird,1,1,A
Anita O’Day,anita o day,3,8,A
Anita Ward,anita ward,1,1,A
Ann Hampton Callaway,ann hampton callaway,2,13,A
Anne Bisson,anne bisson,3,17,A
Anne Murray,anne murray,1,20,A
Anne Shelton,anne shelton,13,217,A
Annette Funicello,annette funicello,4,4,A
Annette Hanshaw,annette hanshaw,1,1,A
Annie Lennox,annie lennox,3,26,A
Anthem Lights,anthem lights,1,9,A
Anthony B,anthony b,1,13,A
Anton Karas,anton karas,1,1,A
Antonio Calogero,antonio calogero,1,2,A
Antônio Carlos Jobim,antonio carlos jobim,1,1,A
ANÚNA,anuna,4,55,A
"Anúna, Michael McGlynn",anuna michael mcglynn,1,1,A
